filepath,label
D:/Final_project_data/Train\Apple___Apple_scab\01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\13b10b04-7da6-4d34-8b43-258239a25ffd___FREC_Scab 2990_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\1f6abf22-93fa-48f0-a509-cc3e210f75f0___FREC_Scab 3172_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\20f4f8d1-7527-420b-a90d-e17b9e45549a___FREC_Scab 2997_270deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\222a9802-f14c-433e-9d18-d0668ed3c279___FREC_Scab 3239_new30degFlipLR.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\23466313-6a2c-46e7-ad89-1f95dd2d3b40___FREC_Scab 3517_90deg.JPG,Apple___Apple_scab
D:/Final_project_data/Train\Apple___Apple_scab\23576562-df0c-46bb-8c50-1bf03412097f___FREC_Scab 3086.JPG,Apple___Apple_scab
